ID;Faculty
Alfred Schmidt;3
Andreas Fischer;4
Andreas Hartwig;2
Andreas Luttge;5
Andreas Rosenauer;1
Anne Staubitz;2
Axel Herrmann;4
Bernd Kuhfuss;4
Bernd Mayer;4
Bernd Orlik;1
Bernhard Karpuschewski;4
Brigitte Clausen;4
Carsten Heinzel;4
Christof Buskens;3
Christopher Gies;1
Claus Braxmaier;4
Dorothea Bruggemann;1
Edwin Zondervan;4
Fabio La Mantia;4
Frank Jahnke;1
Frank Vollertsen;4
Hans-Werner Zoch;4
Jan Hendrik Bredehoft;2
Jens Beckmann;2
Jens Falta;1
Johannes Kiefer;4
Jorg Thoming;4
Juliane Filser;2
Jürgen Gutowski;1
Kai Michels;1
Kirsten Tracht;4
Kurosch Rezwan;4
Lucio Colombi Ciacchi;4
Lutz Madler;4
Marc Avila;4
Marcus Baumer;2
Martin Eickhoff;1
Matthias Busse;4
Michael Beetz;3
Michael Bohm;3
Michael Vellekoop;1
Mohammad Mangir Murshed;2
Monika Fritz;1
Nando Kaminski;1
Peter Maass;3
Petra Swiderek;2
Ralf B. Bergmann;1
Reinhard X. Fischer;5
Robert Kun;4
Rolf Drechsler;3
Sebastian Kunz;2
Thomas Frauenheim;1
Thorsten M. Gesing;2
Tim Stauch;2
Tim Wehling;1
Udo Fritsching;4
Vasily Ploshikhin;1
Walter Lang;1
